ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Intensity_IntegratedIntensityEdge_OrigBlue,Intensity_IntegratedIntensity_OrigBlue,Intensity_LowerQuartileIntensity_OrigBlue,Intensity_MADIntensity_OrigBlue,Intensity_MassDisplacement_OrigBlue,Intensity_MaxIntensityEdge_OrigBlue,Intensity_MaxIntensity_OrigBlue,Intensity_MeanIntensityEdge_OrigBlue,Intensity_MeanIntensity_OrigBlue,Intensity_MedianIntensity_OrigBlue,Intensity_MinIntensityEdge_OrigBlue,Intensity_MinIntensity_OrigBlue,Intensity_StdIntensityEdge_OrigBlue,Intensity_StdIntensity_OrigBlue,Intensity_UpperQuartileIntensity_OrigBlue,Location_CenterMassIntensity_X_OrigBlue,Location_CenterMassIntensity_Y_OrigBlue,Location_CenterMassIntensity_Z_OrigBlue,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_OrigBlue,Location_MaxIntensity_Y_OrigBlue,Location_MaxIntensity_Z_OrigBlue,Number_Object_Number,TrackObjects_Displacement_30,TrackObjects_DistanceTraveled_30,TrackObjects_FinalAge_30,TrackObjects_IntegratedDistance_30,TrackObjects_Label_30,TrackObjects_Lifetime_30,TrackObjects_Linearity_30,TrackObjects_ParentImageNumber_30,TrackObjects_ParentObjectNumber_30,TrackObjects_TrajectoryX_30,TrackObjects_TrajectoryY_30
5,52,2762,262.0,373.0,1.0,1.218010742654386,0.79779017514321815,1.0,0.74648648648648652,0.55265937418996025,79.177330479548374,81.412529748190479,19.313207915827967,7.6768947013968978,7.0,49.0,47.738798343629135,-85.286789866424058,250.60399999999962,0.84027989047763918,0.53056449281893103,0.013985545837497932,0.1869587643669598,0.079863016902648437,0.0065709234363455658,0.0095710050367390238,0.0037492757926847458,0.053701045007145266,0.017989933891435429,0.0076656177765202496,0.0085175495521002381,0.0065231679775490494,0.0049580567439723574,0.015497465019751227,0.0059901036492374425,0.019822031852441378,0.0048881286477460862,0.0029541694480763338,0.0080808683634655942,0.004728316831606693,0.0058280273321680703,0.017167283979632901,0.0073610289050327835,0.016264911876323764,0.012734630966608177,0.003966755520214295,0.0037941141573160746,0.0058037453890159895,0.0047105395989515964,0.001549199229192159,2.0329372966662049,46.059743270743638,0.012158039957284927,0.0042411768808960915,1.6685188738080037,0.019509412348270416,0.03053647093474865,0.0096806537936485956,0.016676228555663881,0.017247451469302177,0.0059376470744609833,0.0059376470744609833,0.0041677494949539469,0.0056573811794078275,0.020923137664794922,258.61381690004055,357.71525208607056,0.0,258.76104272266474,359.37726285300505,0,263.0,348.0,0.0,52,11.35918460341254,2.4515372057431097,nan,14.563969250529169,51.0,5,0.77995115260215309,4.0,53,-1.492213982316116,1.9450789449590502
5,53,1398,889.0,352.0,1.0,1.0778930766892139,0.69435488118563027,1.0,0.72136222910216719,0.72949639735853389,50.261779256330911,50.635955604688654,17.088007490635061,6.5867003150310071,5.8309518948453007,34.972103168096709,36.170022569345207,-82.430581353105381,155.18399999999994,0.93825503355704687,0.6890786997715237,0.1152042763113368,0.13915416479598974,0.06333658320555631,0.021310913515202479,0.015669498374368079,0.020811861334944833,0.021897203409141142,0.0092568250942249332,0.035188647570890623,0.013068282577675854,0.018246479375603947,0.014692835310071262,0.0069994293427903496,0.012597179444914184,0.0018695185414268622,0.0022107285277083279,0.0096561824035019204,0.0059607612809344573,0.012531149496876722,0.011464680878843735,0.0043433363720504293,0.0092262999141949388,0.0028396960111239248,0.0046511893531838797,0.0048543759449731043,0.0035722811801315725,0.00294222279083358,0.0012377077594901626,0.0055456767463639995,1.2036459082737565,20.425789214204997,0.0098960790783166885,0.0045239217579364777,1.2801347221692958,0.017530195415019989,0.024316079914569855,0.0091881367043798214,0.014610721898572959,0.014702745713293552,0.0062203924171626568,0.0062203924171626568,0.0036723433079357192,0.0051036221724694904,0.018943922594189644,886.64259906501854,353.82512700046703,0.0,887.7181688125894,354.51931330472104,0,885.0,356.0,0.0,53,2.7231422472496387,0.83016696732131856,nan,2.7712892168335985,53.0,5,0.98262650852480449,4.0,56,0.78801913333063567,-0.2611571158063839
5,54,2250,566.0,357.0,1.0,1.0957875396365258,0.7308879623499821,1.0,0.75987841945288759,0.75652073763739658,65.391969421741123,66.483080554378645,22.472205054244231,8.1648186102876839,7.2111025509279782,45.867317458194684,44.629853206501423,15.169665518683562,193.32399999999973,0.93965337231154733,0.64793932956939559,0.01132101317454105,0.18750430596256593,0.084093868955249368,0.011112979701354515,0.018762086514989555,0.026274952478430667,0.014725229087171839,0.025788646415414975,0.0087064178494428556,0.018844864272393194,0.0039092570003125505,0.020418318197279507,0.027491546358545008,0.0057654723886852279,0.013921546924742109,0.0071657705732399287,0.0018230711565768757,0.002322507318840138,0.0039330881553700323,0.0006163609671309112,0.003601162479769882,0.0086931584092200011,0.0048121704328301339,0.007086806510536307,0.0081414946790612629,0.0086909135514517018,0.0048987537233336391,0.0067628125399956307,0.0022490788709895629,1.5042039630934596,52.488801596220583,0.014702745713293552,0.0084823537617921829,1.5348731845973598,0.020923137664794922,0.044673725962638855,0.0091163876551118763,0.023328356264986926,0.022054119035601616,0.0059376470744609833,0.0059376470744609833,0.0041078945918853454,0.010698817192598803,0.032232940196990967,563.29945053484778,356.10399697308264,0.0,561.78577777777775,356.3582222222222,0,573.0,352.0,0.0,54,1.3039450818364926,0.40983063161716299,nan,1.7373610018242285,54.0,5,0.75053203132069313,4.0,57,0.24061354420109637,0.33176236820759186
5,55,1648,515.0,362.0,1.0,1.3907975951264078,0.86587420716308083,1.0,0.52752880921895007,0.52285631323528547,68.268250613392155,70.710678118654755,15.556349186104045,5.7784434966189506,5.0990195135927845,42.460112339657947,34.151997172581169,-89.070915235114455,199.01799999999957,0.78983944404505135,0.41965975394470961,0.033940477513350761,0.16923044411645738,0.072000979828357556,0.034037180329385658,0.0155244094892411,0.020159281161939484,0.055708387141506582,0.027553347551372547,0.0091809290541769884,0.013475076955693412,0.006425736923675953,0.00031498850821070772,0.013887172347843847,0.018623701670819809,0.014948932580784644,0.010870215861926364,0.013869698817089177,0.00096862434992589486,0.0054568293698448785,0.0062556889477133034,0.0048694872656211974,0.0089509779888416966,0.009120534397328477,0.0087045014373260659,0.002046143453046424,0.0097928443248448144,0.0043560452612100998,0.0047887459785113523,0.0026325267364058916,1.7009945646859705,28.964125973172486,0.0127235297113657,0.0048066657036542892,0.43698386967094915,0.020923137664794922,0.029122745618224144,0.010631216029287316,0.017575319158478452,0.018378432840108871,0.0059376470744609833,0.0059376470744609833,0.0050594984432491353,0.006008914952625408,0.022336862981319427,517.8165347196898,353.05203096550309,0.0,517.439927184466,353.27366504854371,0,519.0,356.0,0.0,55,22.124046447415914,1.355580425596643,nan,40.30816863897882,56.0,5,0.54887252868197811,4.0,58,0.03292374014915822,1.3551805479696668
5,56,1564,218.0,371.0,1.0,1.0327029730912161,0.51569708718339891,1.0,0.70833333333333337,0.59890832002316796,48.681712792616352,55.803225713214822,19.026297590440446,7.0486850351427428,6.0827625302982193,43.36612085437438,41.709078837080725,27.708882839145684,181.15199999999982,0.86937187326292387,0.63948190364990198,0.068753105418658825,0.20238752933610213,0.039328727485060243,0.010486456791696025,0.017821015595870005,0.032081526106023939,0.0082477148078705757,0.019382738101956325,0.021834418311064786,0.0075480210604314275,0.0092632203950936184,0.031554662544854006,0.010303804989140072,0.0085349968286385202,0.0073482939380755709,0.013003838907078425,0.0066445265272441663,0.0058194580587205662,0.0030546433720308559,0.0086702895650733625,0.0053627268000227251,0.0055202456910738258,0.01276756126171741,0.0047477134025874371,0.0054828459025570804,0.0084905174549580031,0.0018906326042227777,0.0037237337606068192,0.001414564322691771,1.5536843435838819,41.071554167196155,0.014137255027890205,0.011309802532196045,0.76976254987627146,0.01781294122338295,0.052025098353624344,0.010641673586190972,0.026260584505879894,0.022619608789682388,0.0062203924171626568,0.0062203924171626568,0.0036299479478754488,0.013834961665845674,0.039018824696540833,219.18243837454497,371.20106704213958,0.0,218.61381074168798,370.68222506393863,0,225.0,378.0,0.0,56,10.892794112716514,2.9134025091834164,nan,14.858690154756358,57.0,5,0.73309248656952875,4.0,59,-2.4883337278379827,-1.5152918660839418
5,57,1494,496.0,391.0,1.0,1.1306668383030731,0.57808089179531663,1.0,0.57461538461538464,0.69264523307721049,50.792270943561853,55.154328932550705,16.763054614240211,6.193057036742756,5.6568542494923806,41.14365078599613,41.445449922497524,-39.774168190294255,164.63599999999991,0.92136910268270145,0.58902898448685947,0.010238181708717844,0.19686941566561414,0.039696662202669999,0.0066895994781212328,0.05911050439310029,0.0083465883672250024,0.011537012976320643,0.018453361127805261,0.0049472700240560438,0.036006255255068474,0.024431604381247429,0.023323954813188472,0.010386201875705978,0.0098939424875231323,0.0079787616140596339,0.0029258754865180295,0.0090821012092258454,0.0096557664209125371,0.009185432281227035,0.0079457484391100806,0.0040569374630282061,0.0069929881709236167,0.0014907709724546528,0.0098353898801536652,0.00087838154026199911,0.01288557478977265,0.010691967668609616,0.0043131277683015534,0.007872317698119748,1.2118455208837986,21.850541790481657,0.010461568832397461,0.0042411759495735168,1.4355931633396044,0.020074902102351189,0.026012549176812172,0.0090436232901776013,0.014625529980242073,0.014137255027890205,0.0062203924171626568,0.0062203924171626568,0.0040057727600551095,0.005073513903350921,0.018661176785826683,496.51273291051092,389.46856881600206,0.0,496.30388219544847,390.88888888888891,0,498.0,383.0,0.0,57,21.120242421242494,1.5658184260880315,nan,42.767185000191347,56.0,5,0.49384223958504631,4.0,60,0.91630623326074101,1.2697126566134216
5,58,3923,396.0,381.0,1.0,1.4341911816967727,0.83126037730585145,1.0,0.53135581741839366,0.50600124089164167,104.47068191733149,107.20074626605917,25.495097567963924,8.6963452931677985,7.810249675906654,61.98253579038095,58.07350195813477,-74.703857850371122,312.13199999999898,0.83468085106382983,0.43120685828106842,0.10018253862275617,0.11802148916438017,0.074982750351149277,0.053394449521089384,0.03105361870319847,0.0011031211822576615,0.039457408972861346,0.010956063311844157,0.02010083936322795,0.01370843473114451,0.014992045535784575,0.00096072837422514425,0.024542428985638239,0.017651820662383789,0.01842514681054962,0.012109011275063563,0.006707557306210859,0.0057003419873089128,0.0040343720329114258,0.0094762409911939675,0.010036310449081275,0.01407156020530468,0.014642388840404093,0.011249188206670235,0.0039238494753537712,0.0019098402170167885,0.0033483148759864919,0.0037882324736759582,0.002550020143688019,1.8994816169142723,67.336595302913338,0.010178823955357075,0.0048066675662994385,2.3661019437016062,0.0127235297113657,0.04354274645447731,0.0076592000682027105,0.017164566735384485,0.014137255027890205,0.0059376470744609833,0.0059376470744609833,0.0015740583095252925,0.0092554163826327578,0.020923137664794922,392.1015817655674,389.66086925748391,0.0,390.39867448381341,391.30359418812134,0,395.0,384.0,0.0,58,10.391173507349821,0.34392215237306162,nan,14.735175132599355,58.0,5,0.70519511399365153,4.0,61,0.15808485496370395,0.30543677827665761
5,59,790,227.0,402.0,1.0,1.176388322019265,0.76791652373707886,1.0,0.66386554621848737,0.60292291666059628,40.972110936538257,42.01190307520001,11.180339887498949,4.4240699716941245,4.0,26.985580195014123,26.244682784310122,54.274502658753136,128.31800000000004,0.87631724902939534,0.56989192087296237,0.056674593505073874,0.1765559380319581,0.07456021888540719,0.03615402866159232,0.0065582277786811896,0.017137435895349318,0.036787450933289945,0.033873863417802588,0.0060394544173903849,0.013180205570368045,0.0078693916476436712,0.011759095436129538,0.0059569740718836573,0.0098551810354660669,0.017897084480677738,0.0098318180292788198,0.016902609186630165,0.010389700632985796,0.0025794659941685903,0.012359529954026061,0.01326586462687685,0.012535179187195178,0.0028686300156052971,0.01024650783083224,0.0039532065916097741,0.0048305403369859178,0.0026939465568987441,0.0016580700739785713,0.00058899716664560895,1.0368263027630746,11.276723030488938,0.010461568832397461,0.0031101955100893974,1.9808035054630386,0.014419999904930592,0.028274510055780411,0.0094256936614824961,0.014274332949985997,0.013006274588406086,0.0062203924171626568,0.0062203924171626568,0.0023687705746332803,0.0052377040655108417,0.017247451469302177,225.90101046241074,404.02216484137875,0.0,227.06962025316454,405.62151898734174,0,223.0,401.0,0.0,59,27.328969821522197,0.82167472435501021,nan,28.138162129242108,57.0,5,0.97124217623016063,4.0,62,0.015997064758749957,0.82151898734173301
5,60,141,939.0,408.0,1.0,1.0502918264308956,0.65910779748217085,1.0,0.78333333333333333,0.93844631854700833,15.587710548970149,15.231546211727817,6.0,2.5247628772416069,2.2360679774997898,11.0,11.722713973504511,21.378371855794047,43.452000000000012,0.9494949494949495,0.7738223095157668,0.043387251814212942,0.14004121033056197,0.089353097323808431,0.010250361844521725,0.027868165506449969,0.038302510905649269,0.02211213983701197,0.022410948883783408,0.011196002296816596,0.017128550183641421,0.0087628379712507525,0.013125628753706443,0.009912730524877825,0.017721201319231952,0.010917994197129873,0.010958351152156562,0.014149114512413189,0.0077191824211357779,0.0037320816254154641,0.011617789008134436,0.0055922654398622819,0.010940040766392496,0.014548023293531458,0.0096078830127075583,0.0019364767855983833,0.0079118199814103563,0.0075001966186726094,0.00351697831460417,0.0056899962180050542,0.26775961462408304,1.3515216084197164,0.0081996079534292221,0.001555098220705986,0.11508585025021248,0.0081996079534292221,0.013006274588406086,0.0074377670728911953,0.0095852596341823859,0.0094719612970948219,0.0067858826369047165,0.0067858826369047165,0.00044115607314065402,0.0017293413448312221,0.011027059517800808,939.5315899621686,407.92866108887625,0.0,939.57446808510633,408.03546099290782,0,939.0,405.0,0.0,60,1.559804770149168,0.46059106607772399,nan,1.6027236148665573,121.0,3,0.97322130633174531,4.0,63,-0.45711086226208408,0.056513624486740355
5,61,978,200.0,408.0,1.0,1.2312587871354048,0.81435544217077538,1.0,0.59057971014492749,0.62081260167046137,47.886093191641358,45.891175622335062,12.649110640673518,5.0719242800730839,4.4721359549995796,28.987704663022487,27.791481807740624,63.221543889526217,140.69999999999999,0.8736042876284057,0.58759934093822419,0.13846937522460942,0.098220433312466507,0.075477629020016798,0.061811053927164884,0.024609087721565327,0.017424010159067235,0.019949476002958832,0.026356100247532148,0.0084107998309831174,0.0043797702294061528,0.010628264581469947,0.023950788942625811,0.01258679589987587,0.018128362989917254,0.0044890527622956774,0.0036357852205334577,0.0070437580283766567,0.0070681208770826268,0.0067521194159673318,0.0093666325574982643,0.014266051261005911,0.0043712795860021223,0.0043554459313904833,0.0044943460132003,0.0043420053421151291,0.0055613396097687999,0.0077360462954965117,0.0047390179690109053,0.0057489477760814534,1.0303231626749039,13.330866176635027,0.011309804394841194,0.0022619608789682388,0.18686311649478227,0.014137255027890205,0.022619608789682388,0.0089593318493469895,0.013630742511896755,0.013854510150849819,0.0062203924171626568,0.0062203924171626568,0.0023712992131252652,0.003512423742225101,0.016116470098495483,202.46631885048416,406.4323195370315,0.0,202.32208588957056,406.5511247443763,0,205.0,408.0,0.0,61,2.4800717422222962,1.4636644583203655,nan,3.8155382800446631,61.0,5,0.64999262494445886,4.0,64,-1.1759299834453145,-0.87149430324274135
